date	like_	love_
1788	32	0
1789	11	0
1790	13	0
1791	0	0
1792	0	0
1793	25	4
1794	10	10
1795	4	0
1796	2	1
1798	1	1
1799	7	0
1800	2	1
1801	2	0
1802	16	0
1803	2	0
1804	0	0
1805	1	1
1806	2	2
1807	0	2
1808	1	0
1809	14	1
1810	1	0
1811	5	1
1812	0	0
1813	5	0
1814	1	0
1815	0	0
1816	1	2
1817	8	1
1818	1	3
1819	7	3
1820	0	2
1821	9	1
1822	9	0
1823	16	2
1824	11	5
1825	31	8
1826	13	1
1827	12	1
1828	0	0
1829	30	4
1830	16	0
1831	18	1
1832	2	0
1833	21	6
1834	18	2
1835	10	8
1836	19	6
1837	8	4
1838	10	2
1839	13	0
1840	16	2
1841	14	19
1842	13	3
1843	17	4
1844	12	10
1845	80	25
1846	8	2
1847	24	2
1848	10	2
1849	3	3
1850	8	9
1851	27	3
1852	20	1
1853	24	1
1854	24	16
1855	27	8
1856	21	3
1857	21	11
1858	75	14
1859	46	14
1860	59	9
1861	14	3
1862	16	2
1863	11	2
1864	3	1
1865	43	6
1866	0	1
1867	33	13
1868	1	0
1869	3	0
1870	10	0
1871	32	1
1872	27	2
1873	1	0
1874	30	7
1875	12	2
1876	2	0
1877	9	4
1878	2	0
1879	23	2
1880	0	0
1881	19	0
1882	33	7
1883	33	35
1884	5	0
1885	11	5
1886	12	1
1887	26	4
1888	17	3
1889	24	13
1890	31	9
1891	28	4
1892	16	1
1893	13	0
1894	16	10
1895	62	4
1896	25	2
1897	81	2
1898	19	4
1899	34	0
1900	15	0
